sym,tpy,n,pf,er,wr,ci_lo,ci_hi,p_le0,cib_lo,cib_hi,sub_n,sub_er,sub_ci_lo,sub_ci_hi
EURUSD,110.90228802153433,1128,1.1849657936801663,0.09653644785665029,31.471631205673763,0.01946156646100196,0.17539811073457806,0.00725,0.017184088924705954,0.17594681819499763,732,0.046141388914715635,-0.05030285789997674,0.14171942890093214
GBPUSD,152.13832794830373,1547,1.2175783225153065,0.11318915667774498,32.191338073691014,0.04800050151496766,0.17973985542158863,0.00045,0.044969738502698905,0.18302597049411984,1043,0.09188651242490216,0.010060812746130864,0.17281177075686682
AUDUSD,108.63038793103448,1104,1.0414940840040416,0.0223787033543126,28.6231884057971,-0.0521207194213937,0.09889395516416181,0.2784,-0.053447347792421405,0.09783153680462706,694,-0.042659831191958215,-0.13637451031301168,0.05294265655044195
USDJPY,111.85535522066738,1138,1.043438769192054,0.024123090084199644,29.701230228471005,-0.05309576074574805,0.10219006225599253,0.26885,-0.049123112838936396,0.09849774443352223,697,-0.016652643391711353,-0.11323233726454243,0.07885472324705546
XAUUSD,147.4764468371467,1500,0.9681221743678732,-0.018166406905236614,28.000000000000004,-0.08348874198648559,0.04798075014461364,0.70455,-0.08657024309099964,0.05029681876087737,1029,-0.03344098340564434,-0.11191427863273405,0.045986164976080775
GRXEUR,66.66009719222461,676,1.1836204797119103,0.09868028740036261,31.804733727810653,-0.0019450211654842584,0.20238998922164825,0.02765,0.00015026426824601803,0.19553309463232232,428,0.10763285181062801,-0.019029385066163747,0.23597403135343809
