entry_time,direction,r,exit_reason
2015-01-14 11:15:00+00:00,-1,-1.0699999999999945,SL
2015-01-16 08:00:00+00:00,-1,-0.08974358974358235,SL
2015-01-19 08:00:00+00:00,-1,-1.0979020979021026,SL
2015-01-22 08:00:00+00:00,-1,-1.1196581196580984,SL
2015-01-23 08:00:00+00:00,-1,1.9784946236556775,TP
2015-01-26 08:00:00+00:00,-1,-1.0603448275861995,SL
2015-01-28 14:15:00+00:00,-1,1.982142857143027,TP
2015-01-29 08:00:00+00:00,-1,-0.09150326797384714,SL
2015-02-04 08:00:00+00:00,1,-1.1014492753623155,SL
2015-02-05 09:15:00+00:00,1,-0.07777777777777063,SL
2015-02-06 08:00:00+00:00,1,-0.17499999999995694,SL
2015-02-09 08:00:00+00:00,-1,-1.1320754716980952,SL
2015-02-13 08:00:00+00:00,1,-1.1102362204724423,SL
2015-02-16 08:00:00+00:00,1,-1.1359223300970651,SL
2015-02-17 09:15:00+00:00,1,-0.09150326797384714,SL
2015-02-19 08:00:00+00:00,1,1.947916666666371,TP
2015-02-20 08:15:00+00:00,-1,-1.1052631578947245,SL
2015-02-23 10:15:00+00:00,-1,-1.0897435897435823,SL
2015-02-27 08:00:00+00:00,-1,-0.16279069767439008,SL
2015-03-02 08:00:00+00:00,-1,-1.1728395061728307,SL
2015-03-04 14:15:00+00:00,-1,1.9756097560974268,TP
2015-03-05 08:00:00+00:00,-1,-0.11864406779660498,SL
2015-03-06 09:15:00+00:00,-1,1.967479674796569,TP
2015-03-09 08:00:00+00:00,-1,-1.1505376344086105,SL
2015-03-10 08:00:00+00:00,-1,1.9703703703703694,TP
2015-03-11 08:00:00+00:00,-1,1.9799999999998963,TP
2015-03-13 08:00:00+00:00,-1,-0.08749999999999061,SL
2015-03-16 08:00:00+00:00,-1,-1.0682926829268202,SL
2015-03-23 08:00:00+00:00,1,1.9870689655171743,TP
2015-03-24 08:00:00+00:00,1,1.9760765550239974,TP
2015-03-26 08:00:00+00:00,1,1.9767441860466402,TP
2015-03-31 07:00:00+00:00,-1,1.9800000000003375,TP
2015-04-06 07:00:00+00:00,1,1.9560439560439544,TP
2015-04-09 07:00:00+00:00,-1,1.9692307692311073,TP
2015-04-10 07:00:00+00:00,-1,1.967479674796569,TP
2015-04-13 07:00:00+00:00,-1,1.9718309859154926,TP
2015-04-15 07:15:00+00:00,-1,1.9710144927537827,TP
2015-04-16 07:15:00+00:00,-1,1.9850000000000327,TP
2015-04-17 07:00:00+00:00,1,1.977272727272727,TP
2015-04-21 14:15:00+00:00,1,1.9748743718593742,TP
2015-04-22 08:15:00+00:00,1,1.9756097560974268,TP
2015-04-23 07:15:00+00:00,-1,-1.0853658536585369,SL
2015-04-24 07:00:00+00:00,1,-0.06999999999998666,SL
2015-04-27 07:00:00+00:00,1,-0.09589041095889547,SL
2015-04-28 07:00:00+00:00,1,1.9593495934962375,TP
