basket,dir,start,end,duration_s,n_entries,total_lots,max_simul_lots,wavg_entry,wavg_exit,first_entry,last_entry,entry_span,gross_profit,swap,comm,net,profit_per_001lot,exit_dist_from_wae,n_close_events,all_closed_together,med_gap_s,max_gap_s,med_price_step,n_partial,outcome
L051,long,2026-07-02 18:16:18,2026-07-02 18:21:45,327.0,2,0.04,0.04,4123.12,4126.32,4124.16,4122.08,2.0799999999999272,12.8,0.0,0.0,12.8,3.2,3.199999999999818,1,True,120.0,120.0,2.0799999999999272,0,profit
S040,short,2026-07-02 18:22:22,2026-07-02 18:30:58,516.0,2,0.04,0.04,4128.175,4124.315,4125.37,4130.98,5.609999999999673,15.440000000000001,0.0,0.0,15.440000000000001,3.8600000000000003,3.860000000000582,2,True,132.0,132.0,5.609999999999673,0,profit
L052,long,2026-07-02 18:28:07,2026-07-02 18:31:47,220.0,2,0.04,0.04,4125.27,4127.75,4126.35,4124.19,2.160000000000764,9.92,0.0,0.0,9.92,2.48,2.4799999999995634,1,True,118.0,118.0,2.160000000000764,0,profit
L053,long,2026-07-02 18:41:20,2026-07-02 18:47:48,388.0,1,0.02,0.02,4126.91,4129.02,4126.91,4126.91,0.0,4.22,0.0,0.0,4.22,2.11,2.110000000000582,1,True,,,,0,profit
S041,short,2026-07-02 18:49:20,2026-07-02 18:51:19,119.0,1,0.02,0.02,4128.98,4126.69,4128.98,4128.98,0.0,4.58,0.0,0.0,4.58,2.29,2.2899999999999636,1,True,,,,0,profit
S042,short,2026-07-03 04:31:44,2026-07-03 04:39:58,494.0,15,2.869999999999999,2.8699999999999997,4188.416027874565,4185.085609756099,4186.44,4190.43,4.260000000000218,955.83,0.0,0.0,955.83,3.3304181184668997,3.3304181184657864,2,True,0.0,13.0,0.03499999999985448,0,profit
L054,long,2026-07-03 04:49:21,2026-07-03 04:53:35,254.0,1,0.2,0.2,4182.77,4175.26,4182.77,4182.77,0.0,-150.2,0.0,0.0,-150.2,-7.51,-7.510000000000218,1,True,,,,0,loss
L055,long,2026-07-03 04:55:06,2026-07-03 04:55:31,25.0,1,0.2,0.2,4180.04,4180.85,4180.04,4180.04,0.0,16.2,0.0,0.0,16.2,0.8099999999999999,0.8100000000004002,1,True,,,,0,profit
S043,short,2026-07-03 10:46:02,2026-07-03 10:57:08,666.0,1,0.02,0.02,4179.27,4177.19,4179.27,4179.27,0.0,4.16,0.0,0.0,4.16,2.08,2.0800000000008367,1,True,,,,0,profit
L056,long,2026-07-03 10:59:22,2026-07-03 11:00:04,42.0,1,0.02,0.02,4176.61,4178.47,4176.61,4176.61,0.0,3.72,0.0,0.0,3.72,1.86,1.860000000000582,1,True,,,,0,profit
S044,short,2026-07-03 11:00:58,2026-07-03 11:46:59,2761.0,3,0.07,0.07,4183.331428571428,4180.759999999999,4180.4,4185.28,4.880000000000109,18.0,0.0,0.0,18.0,2.571428571428571,2.5714285714284415,1,True,1025.0,1921.0,2.4400000000000546,0,profit
L057,long,2026-07-03 11:31:54,2026-07-03 11:33:47,113.0,1,0.02,0.02,4182.27,4184.69,4182.27,4182.27,0.0,4.84,0.0,0.0,4.84,2.42,2.4199999999991633,1,True,,,,0,profit
L058,long,2026-07-03 11:50:33,2026-07-03 11:58:06,453.0,1,0.02,0.02,4178.39,4181.97,4178.39,4178.39,0.0,7.16,0.0,0.0,7.16,3.58,3.5799999999999272,1,True,,,,0,profit
S045,short,2026-07-03 11:58:38,2026-07-03 12:09:16,638.0,1,0.02,0.02,4181.34,4179.08,4181.34,4181.34,0.0,4.52,0.0,0.0,4.52,2.26,2.2600000000002183,1,True,,,,0,profit
