Open Time,Ticket,Type,Size,Item,Price,Order,Comment,Entry,Commission,Fee,Swap,Profit,_sheet,_stmt
2026.07.23 01:59:33,481141972,buy,0.55,XAUUSD-STDc,4122.14,619782053,copy #1007969300,out,0,0,44.52,1 641.20,Sheet1,2026.07.23 23:59
2026.07.23 01:59:34,481142122,buy,0.02,XAUUSD-STDc,4122.2,619782289,copy #1007969305,out,0,0,1.62,-9.56,Sheet1,2026.07.23 23:59
2026.07.23 01:59:34,481142383,buy,0.03,XAUUSD-STDc,4122.21,619782517,copy #1007969332,out,0,0,2.43,-14.43,Sheet1,2026.07.23 23:59
2026.07.23 01:59:34,481142516,buy,0.05,XAUUSD-STDc,4122.21,619782740,copy #1007969377,out,0,0,4.05,-23.95,Sheet1,2026.07.23 23:59
2026.07.23 01:59:34,481142760,buy,0.08,XAUUSD-STDc,4122.4,619782970,copy #1007969405,out,0,0,6.48,-40,Sheet1,2026.07.23 23:59
2026.07.23 01:59:35,481142942,buy,0.13,XAUUSD-STDc,4122.25,619783187,copy #1007969427,out,0,0,10.52,-62.4,Sheet1,2026.07.23 23:59
2026.07.23 01:59:35,481143203,buy,0.21,XAUUSD-STDc,4122.03,619783422,copy #1007969449,out,0,0,17,-95.97,Sheet1,2026.07.23 23:59
2026.07.23 01:59:35,481143605,buy,0.34,XAUUSD-STDc,4121.89,619783805,copy #1007969491,out,0,0,27.52,-149.94,Sheet1,2026.07.23 23:59
2026.07.23 01:59:40,481145667,buy,0.03,XAUUSD-STDc,4121.45,619786136,copy #1007969903,out,0,0,2.43,33.6,Sheet1,2026.07.23 23:59
2026.07.23 01:59:41,481145972,buy,0.55,XAUUSD-STDc,4121.52,619786351,copy #1007969904,out,0,0,44.52,1 675.30,Sheet1,2026.07.23 23:59
2026.07.23 01:59:41,481146314,buy,0.05,XAUUSD-STDc,4121.52,619786559,copy #1007969905,out,0,0,4.05,55.35,Sheet1,2026.07.23 23:59
2026.07.23 01:59:41,481146486,buy,0.21,XAUUSD-STDc,4121.66,619786982,copy #1007969908,out,0,0,17,217.35,Sheet1,2026.07.23 23:59
2026.07.23 01:59:41,481146689,buy,0.08,XAUUSD-STDc,4121.66,619786772,copy #1007969907,out,0,0,6.48,87.52,Sheet1,2026.07.23 23:59
2026.07.23 01:59:41,481146900,buy,0.13,XAUUSD-STDc,4121.64,619787400,copy #1007969910,out,0,0,10.52,138.19,Sheet1,2026.07.23 23:59
2026.07.23 01:59:41,481146981,buy,0.34,XAUUSD-STDc,4121.64,619787183,copy #1007969909,out,0,0,27.52,354.28,Sheet1,2026.07.23 23:59
2026.07.23 02:27:51,481241798,buy,0.02,XAUUSD-STDc,4120.48,619886277,copy #1008023690,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:27:51,481241945,buy,0.03,XAUUSD-STDc,4120.43,619886505,copy #1008023699,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:27:51,481242110,buy,0.04,XAUUSD-STDc,4120.39,619886735,copy #1008023726,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:28:11,481244446,buy,0.05,XAUUSD-STDc,4119.6,619889176,copy #1008024604,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:28:31,481245573,buy,0.07,XAUUSD-STDc,4119.6,619890384,copy #1008024913,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:28:36,481246171,buy,0.08,XAUUSD-STDc,4120.04,619890841,copy #1008025052,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:28:36,481246193,buy,0.11,XAUUSD-STDc,4120.04,619891060,copy #1008025053,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:28:36,481246325,buy,0.18,XAUUSD-STDc,4120.04,619891280,copy #1008025054,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:28:36,481246704,buy,0.23,XAUUSD-STDc,4120.04,619891713,copy #1008025058,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:28:37,481246871,buy,0.14,XAUUSD-STDc,4120.04,619891497,copy #1008025055,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:28:37,481247385,buy,0.31,XAUUSD-STDc,4120.2,619891940,copy #1008025176,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:28:37,481247470,buy,0.02,XAUUSD-STDc,4120.23,619892159,copy #1008025177,in,0,0,0,0,Sheet1,2026.07.23 23:59
2026.07.23 02:33:19,481252293,sell,0.02,XAUUSD-STDc,4122.24,619897760,copy #1008028901,out,0,0,0,4.02,Sheet1,2026.07.23 23:59
2026.07.23 02:33:20,481252450,sell,0.31,XAUUSD-STDc,4122.26,619897985,copy #1008028906,out,0,0,0,63.86,Sheet1,2026.07.23 23:59
2026.07.23 02:33:20,481252678,sell,0.23,XAUUSD-STDc,4122.26,619898204,copy #1008028937,out,0,0,0,51.06,Sheet1,2026.07.23 23:59
2026.07.23 02:33:20,481252876,sell,0.18,XAUUSD-STDc,4122.26,619898418,copy #1008028972,out,0,0,0,39.96,Sheet1,2026.07.23 23:59
2026.07.23 02:33:21,481253110,sell,0.14,XAUUSD-STDc,4122.26,619898642,copy #1008028999,out,0,0,0,31.08,Sheet1,2026.07.23 23:59
2026.07.23 02:33:21,481253213,sell,0.11,XAUUSD-STDc,4122.26,619898864,copy #1008029006,out,0,0,0,24.42,Sheet1,2026.07.23 23:59
2026.07.23 02:33:21,481253580,sell,0.08,XAUUSD-STDc,4122.26,619899087,copy #1008029062,out,0,0,0,17.76,Sheet1,2026.07.23 23:59
