basket,n,best_m,frac,lots
S090,5,1.2,0.75,"0.02,0.02,0.02,0.03,0.04"
S102,8,1.25,0.7142857142857143,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11"
S105,6,1.2,0.8,"0.02,0.02,0.03,0.04,0.05,0.06"
S108,6,1.2,0.8,"0.02,0.02,0.03,0.04,0.05,0.06"
S110,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
S123,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
S124,6,1.2,0.8,"0.02,0.02,0.03,0.04,0.05,0.06"
S125,15,1.3,0.7857142857142857,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18,0.23,0.30,0.39,0.51,0.67"
S127,14,1.3,0.8461538461538461,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18,0.23,0.30,0.39,0.51"
S132,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S133,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
S134,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S138,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
S140,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
S142,8,1.25,0.5714285714285714,"0.14,0.11,0.06,0.08,0.05,0.04,0.03,0.18"
S147,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
S151,14,1.3,0.6923076923076923,"0.02,0.02,0.03,0.05,0.04,0.06,0.08,0.11,0.14,0.18,0.23,0.30,0.39,0.51"
S155,4,1.2,0.6666666666666666,"0.04,0.03,0.02,0.02"
S158,4,1.2,0.6666666666666666,"0.02,0.02,0.02,0.03"
S164,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S166,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S167,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S184,12,1.25,0.7272727272727273,"0.02,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18,0.23"
S185,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S188,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S190,6,1.2,0.8,"0.02,0.02,0.03,0.04,0.05,0.06"
S193,7,1.25,0.8333333333333334,"0.14,0.11,0.08,0.06,0.05,0.04,0.03"
S194,5,1.25,1.0,"0.03,0.04,0.05,0.06,0.08"
S196,6,1.25,0.8,"0.03,0.04,0.05,0.06,0.08,0.11"
S199,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S201,8,1.25,0.7142857142857143,"0.11,0.08,0.06,0.05,0.04,0.03,0.02,0.02"
S203,6,1.2,0.6,"0.06,0.05,0.02,0.02,0.03,0.04"
S207,9,1.25,0.75,"0.02,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11"
S210,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
S224,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S226,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S227,14,1.3,0.7692307692307693,"0.04,0.03,0.02,0.02,0.05,0.06,0.08,0.11,0.14,0.18,0.23,0.30,0.39,0.51"
S238,12,1.3,0.8181818181818182,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18,0.23,0.30"
S239,7,1.6,1.0,"0.34,0.21,0.13,0.08,0.05,0.03,0.02"
S240,7,1.6,1.0,"0.34,0.21,0.13,0.08,0.05,0.03,0.02"
S241,16,1.6,0.8,"0.34,0.21,0.13,0.08,0.05,0.03,0.02,0.03,0.05,0.08,0.13,0.21,0.34,0.86,0.55,0.55"
