Open Time,Ticket,Type,Size,Item,Price,S / L,T / P,Market Price,Swap,Profit,_sheet,_stmt
2026.07.22 16:03:39,617816198,sell,0.34,XAUUSD-STDc,4117.48,0,0,4130.29,0,-435.54,Sheet2,2026.07.22 23:59
2026.07.22 16:03:39,617816433,sell,0.21,XAUUSD-STDc,4117.46,0,0,4130.29,0,-269.43,Sheet2,2026.07.22 23:59
2026.07.22 16:03:39,617816670,sell,0.13,XAUUSD-STDc,4117.45,0,0,4130.29,0,-166.92,Sheet2,2026.07.22 23:59
2026.07.22 16:03:40,617816904,sell,0.08,XAUUSD-STDc,4117.4,0,0,4130.29,0,-103.12,Sheet2,2026.07.22 23:59
2026.07.22 16:03:40,617817135,sell,0.05,XAUUSD-STDc,4117.42,0,0,4130.29,0,-64.35,Sheet2,2026.07.22 23:59
2026.07.22 16:03:40,617817396,sell,0.03,XAUUSD-STDc,4117.4,0,0,4130.29,0,-38.67,Sheet2,2026.07.22 23:59
2026.07.22 16:03:41,617817617,sell,0.02,XAUUSD-STDc,4117.42,0,0,4130.29,0,-25.74,Sheet2,2026.07.22 23:59
2026.07.22 16:25:10,617967238,sell,0.03,XAUUSD-STDc,4132.65,0,0,4130.29,0,7.08,Sheet2,2026.07.22 23:59
2026.07.22 16:25:10,617967464,sell,0.05,XAUUSD-STDc,4132.59,0,0,4130.29,0,11.5,Sheet2,2026.07.22 23:59
2026.07.22 16:25:10,617967686,sell,0.08,XAUUSD-STDc,4132.6,0,0,4130.29,0,18.48,Sheet2,2026.07.22 23:59
2026.07.22 16:25:11,617967911,sell,0.13,XAUUSD-STDc,4132.27,0,0,4130.29,0,25.74,Sheet2,2026.07.22 23:59
2026.07.22 16:25:11,617968214,sell,0.21,XAUUSD-STDc,4132.01,0,0,4130.29,0,36.12,Sheet2,2026.07.22 23:59
2026.07.22 16:25:11,617968457,sell,0.34,XAUUSD-STDc,4132.06,0,0,4130.29,0,60.18,Sheet2,2026.07.22 23:59
2026.07.22 19:25:01,619054064,sell,0.55,XAUUSD-STDc,4151.98,0,0,4130.29,0,1 192.95,Sheet2,2026.07.22 23:59
2026.07.22 19:25:02,619054396,sell,0.55,XAUUSD-STDc,4151.98,0,0,4130.29,0,1 192.95,Sheet2,2026.07.22 23:59
