datetime,open,high,low,close,volume
2015-01-02 07:00:00+00:00,9803.25,9856.0,9803.25,9835.75,0
2015-01-02 07:15:00+00:00,9836.25,9847.0,9831.0,9839.5,0
2015-01-02 07:30:00+00:00,9839.25,9840.0,9832.75,9836.0,0
2015-01-02 07:45:00+00:00,9837.25,9854.25,9836.75,9853.0,0
2015-01-02 08:00:00+00:00,9853.75,9889.75,9838.75,9854.25,0
2015-01-02 08:15:00+00:00,9854.0,9854.0,9799.0,9812.75,0
2015-01-02 08:30:00+00:00,9813.0,9834.5,9808.0,9808.0,0
2015-01-02 08:45:00+00:00,9808.25,9808.25,9740.75,9744.25,0
2015-01-02 09:00:00+00:00,9745.0,9750.5,9692.75,9743.0,0
2015-01-02 09:15:00+00:00,9743.5,9743.5,9713.0,9733.5,0
2015-01-02 09:30:00+00:00,9733.25,9734.25,9711.75,9725.0,0
2015-01-02 09:45:00+00:00,9724.75,9763.25,9719.75,9760.0,0
2015-01-02 10:00:00+00:00,9760.5,9764.5,9740.5,9740.75,0
2015-01-02 10:15:00+00:00,9740.5,9761.75,9724.25,9747.0,0
2015-01-02 10:30:00+00:00,9747.5,9761.75,9744.25,9759.5,0
2015-01-02 10:45:00+00:00,9759.0,9760.5,9731.75,9734.5,0
2015-01-02 11:00:00+00:00,9734.25,9750.75,9719.25,9725.5,0
2015-01-02 11:15:00+00:00,9725.75,9736.25,9724.0,9726.75,0
2015-01-02 11:30:00+00:00,9726.5,9748.25,9720.75,9741.0,0
2015-01-02 11:45:00+00:00,9741.25,9745.75,9731.25,9735.75,0
2015-01-02 12:00:00+00:00,9736.0,9761.0,9734.0,9752.5,0
2015-01-02 12:15:00+00:00,9752.75,9754.0,9742.0,9742.0,0
2015-01-02 12:30:00+00:00,9742.25,9753.5,9740.25,9747.75,0
2015-01-02 12:45:00+00:00,9748.0,9750.0,9735.5,9749.25,0
2015-01-02 13:00:00+00:00,9752.0,9759.0,9746.0,9756.0,0
2015-01-02 13:15:00+00:00,9756.25,9768.5,9752.75,9766.75,0
2015-01-02 13:30:00+00:00,9767.0,9768.0,9758.0,9758.25,0
2015-01-02 13:45:00+00:00,9758.0,9763.0,9752.0,9762.5,0
2015-01-02 14:00:00+00:00,9762.75,9789.0,9758.0,9788.5,0
2015-01-02 14:15:00+00:00,9789.0,9798.0,9784.75,9790.25,0
2015-01-02 14:30:00+00:00,9790.75,9830.75,9781.75,9826.0,0
2015-01-02 14:45:00+00:00,9826.75,9831.75,9800.5,9826.0,0
2015-01-02 15:00:00+00:00,9823.75,9837.25,9805.0,9834.75,0
2015-01-02 15:15:00+00:00,9835.0,9835.5,9790.25,9805.25,0
2015-01-02 15:30:00+00:00,9805.5,9807.25,9738.25,9746.5,0
2015-01-02 15:45:00+00:00,9746.75,9777.75,9744.75,9769.0,0
2015-01-02 16:00:00+00:00,9768.25,9769.25,9721.25,9742.25,0
2015-01-02 16:15:00+00:00,9742.75,9774.75,9732.75,9764.25,0
2015-01-02 16:30:00+00:00,9769.25,9774.75,9745.75,9746.25,0
2015-01-02 16:45:00+00:00,9745.75,9764.25,9745.75,9761.25,0
2015-01-02 17:00:00+00:00,9761.0,9768.25,9757.0,9759.25,0
2015-01-02 17:15:00+00:00,9759.5,9762.75,9750.75,9759.75,0
2015-01-02 17:30:00+00:00,9759.5,9764.75,9756.0,9758.0,0
2015-01-02 17:45:00+00:00,9758.25,9759.75,9745.25,9752.5,0
2015-01-02 18:00:00+00:00,9752.25,9763.25,9750.75,9754.75,0
2015-01-02 18:15:00+00:00,9754.5,9761.75,9742.5,9745.25,0
2015-01-02 18:30:00+00:00,9745.5,9751.5,9738.75,9746.0,0
2015-01-02 18:45:00+00:00,9746.25,9761.75,9741.25,9754.75,0
2015-01-02 19:00:00+00:00,9755.0,9770.25,9754.25,9765.75,0
2015-01-02 19:15:00+00:00,9765.25,9770.5,9757.75,9760.0,0
2015-01-02 19:30:00+00:00,9760.75,9770.75,9754.5,9766.5,0
