datetime,open,high,low,close,volume
2015-01-01 18:00:00+00:00,119.666,119.89,119.666,119.735,0
2015-01-01 19:00:00+00:00,119.741,119.746,119.726,119.735,0
2015-01-01 22:00:00+00:00,119.746,119.841,119.701,119.826,0
2015-01-01 23:00:00+00:00,119.828,119.967,119.807,119.885,0
2015-01-02 00:00:00+00:00,119.885,120.074,119.835,120.074,0
2015-01-02 01:00:00+00:00,120.073,120.428,120.051,120.274,0
2015-01-02 02:00:00+00:00,120.272,120.428,120.26,120.357,0
2015-01-02 03:00:00+00:00,120.355,120.372,120.277,120.32,0
2015-01-02 04:00:00+00:00,120.321,120.474,120.321,120.437,0
2015-01-02 05:00:00+00:00,120.438,120.473,120.407,120.419,0
2015-01-02 06:00:00+00:00,120.42,120.444,120.336,120.403,0
2015-01-02 07:00:00+00:00,120.402,120.508,120.387,120.439,0
2015-01-02 08:00:00+00:00,120.439,120.485,120.343,120.346,0
2015-01-02 09:00:00+00:00,120.349,120.429,120.313,120.41,0
2015-01-02 10:00:00+00:00,120.412,120.479,120.38,120.437,0
2015-01-02 11:00:00+00:00,120.439,120.496,120.435,120.482,0
2015-01-02 12:00:00+00:00,120.484,120.656,120.482,120.626,0
2015-01-02 13:00:00+00:00,120.628,120.653,120.554,120.606,0
2015-01-02 14:00:00+00:00,120.608,120.742,120.574,120.687,0
2015-01-02 15:00:00+00:00,120.604,120.636,120.001,120.194,0
2015-01-02 16:00:00+00:00,120.192,120.235,119.822,120.211,0
2015-01-02 17:00:00+00:00,120.21,120.392,120.149,120.237,0
2015-01-02 18:00:00+00:00,120.238,120.324,120.211,120.31,0
2015-01-02 19:00:00+00:00,120.311,120.394,120.299,120.34,0
2015-01-02 20:00:00+00:00,120.34,120.487,120.306,120.471,0
2015-01-02 21:00:00+00:00,120.47,120.528,120.436,120.445,0
2015-01-04 22:00:00+00:00,120.491,120.597,120.316,120.531,0
2015-01-04 23:00:00+00:00,120.539,120.569,120.37,120.395,0
2015-01-05 00:00:00+00:00,120.4,120.419,119.981,120.26,0
2015-01-05 01:00:00+00:00,120.259,120.424,120.125,120.401,0
2015-01-05 02:00:00+00:00,120.4,120.4,120.235,120.333,0
2015-01-05 03:00:00+00:00,120.336,120.601,120.31,120.595,0
2015-01-05 04:00:00+00:00,120.594,120.647,120.495,120.545,0
2015-01-05 05:00:00+00:00,120.544,120.606,120.355,120.4,0
2015-01-05 06:00:00+00:00,120.404,120.512,120.357,120.382,0
2015-01-05 07:00:00+00:00,120.383,120.478,120.31,120.37,0
2015-01-05 08:00:00+00:00,120.372,120.426,120.262,120.355,0
2015-01-05 09:00:00+00:00,120.356,120.395,120.131,120.213,0
2015-01-05 10:00:00+00:00,120.213,120.383,120.171,120.361,0
2015-01-05 11:00:00+00:00,120.36,120.432,120.238,120.273,0
2015-01-05 12:00:00+00:00,120.273,120.286,120.041,120.154,0
2015-01-05 13:00:00+00:00,120.154,120.18,119.758,119.825,0
2015-01-05 14:00:00+00:00,119.824,119.837,119.459,119.486,0
2015-01-05 15:00:00+00:00,119.484,119.669,119.373,119.586,0
2015-01-05 16:00:00+00:00,119.588,119.782,119.435,119.652,0
2015-01-05 17:00:00+00:00,119.651,119.787,119.556,119.611,0
2015-01-05 18:00:00+00:00,119.611,119.792,119.577,119.692,0
2015-01-05 19:00:00+00:00,119.693,119.7,119.498,119.534,0
2015-01-05 20:00:00+00:00,119.532,119.675,119.493,119.657,0
2015-01-05 21:00:00+00:00,119.658,119.658,119.572,119.634,0
2015-01-05 22:00:00+00:00,119.634,119.635,119.259,119.287,0
2015-01-05 23:00:00+00:00,119.292,119.488,119.287,119.422,0
2015-01-06 00:00:00+00:00,119.422,119.508,119.16,119.168,0
2015-01-06 01:00:00+00:00,119.168,119.448,119.164,119.446,0
2015-01-06 02:00:00+00:00,119.445,119.445,119.171,119.336,0
2015-01-06 03:00:00+00:00,119.337,119.385,119.251,119.295,0
2015-01-06 04:00:00+00:00,119.293,119.293,119.089,119.24,0
2015-01-06 05:00:00+00:00,119.24,119.24,118.884,118.96,0
2015-01-06 06:00:00+00:00,118.96,119.041,118.652,118.795,0
2015-01-06 07:00:00+00:00,118.796,119.17,118.787,119.166,0
2015-01-06 08:00:00+00:00,119.164,119.238,118.752,118.881,0
2015-01-06 09:00:00+00:00,118.881,119.008,118.713,118.837,0
2015-01-06 10:00:00+00:00,118.835,118.984,118.747,118.97,0
2015-01-06 11:00:00+00:00,118.968,119.343,118.963,119.314,0
2015-01-06 12:00:00+00:00,119.314,119.391,119.052,119.054,0
2015-01-06 13:00:00+00:00,119.054,119.13,118.9,119.002,0
2015-01-06 14:00:00+00:00,119.003,119.197,118.858,118.87,0
2015-01-06 15:00:00+00:00,118.856,119.066,118.611,118.709,0
2015-01-06 16:00:00+00:00,118.709,118.807,118.2,118.218,0
2015-01-06 17:00:00+00:00,118.217,118.485,118.054,118.485,0
2015-01-06 18:00:00+00:00,118.481,118.481,118.084,118.371,0
2015-01-06 19:00:00+00:00,118.372,118.649,118.243,118.626,0
2015-01-06 20:00:00+00:00,118.625,118.812,118.497,118.502,0
2015-01-06 21:00:00+00:00,118.501,118.612,118.363,118.385,0
2015-01-06 22:00:00+00:00,118.402,118.667,118.379,118.591,0
2015-01-06 23:00:00+00:00,118.591,118.696,118.505,118.661,0
2015-01-07 00:00:00+00:00,118.659,118.854,118.643,118.752,0
2015-01-07 01:00:00+00:00,118.752,119.004,118.734,119.003,0
2015-01-07 02:00:00+00:00,119.003,119.167,119.003,119.069,0
2015-01-07 03:00:00+00:00,119.07,119.106,118.889,119.015,0
2015-01-07 04:00:00+00:00,119.014,119.099,118.973,119.045,0
2015-01-07 05:00:00+00:00,119.044,119.07,118.805,118.872,0
2015-01-07 06:00:00+00:00,118.875,119.097,118.799,119.044,0
2015-01-07 07:00:00+00:00,119.046,119.253,118.919,119.072,0
2015-01-07 08:00:00+00:00,119.07,119.204,118.972,119.073,0
2015-01-07 09:00:00+00:00,119.076,119.103,118.696,118.836,0
2015-01-07 10:00:00+00:00,118.824,119.202,118.766,119.155,0
2015-01-07 11:00:00+00:00,119.154,119.167,119.012,119.137,0
2015-01-07 12:00:00+00:00,119.14,119.225,119.032,119.172,0
2015-01-07 13:00:00+00:00,119.174,119.547,119.159,119.407,0
2015-01-07 14:00:00+00:00,119.407,119.568,119.295,119.501,0
2015-01-07 15:00:00+00:00,119.502,119.647,119.408,119.446,0
2015-01-07 16:00:00+00:00,119.448,119.547,119.296,119.533,0
2015-01-07 17:00:00+00:00,119.533,119.579,119.432,119.488,0
2015-01-07 18:00:00+00:00,119.488,119.516,119.219,119.241,0
2015-01-07 19:00:00+00:00,119.242,119.538,118.849,118.942,0
2015-01-07 20:00:00+00:00,118.944,119.195,118.944,119.148,0
2015-01-07 21:00:00+00:00,119.148,119.256,119.071,119.253,0
2015-01-07 22:00:00+00:00,119.251,119.353,119.213,119.323,0
2015-01-07 23:00:00+00:00,119.319,119.411,119.248,119.281,0
2015-01-08 00:00:00+00:00,119.281,119.48,119.158,119.45,0
2015-01-08 01:00:00+00:00,119.45,119.716,119.371,119.691,0
2015-01-08 02:00:00+00:00,119.688,119.761,119.604,119.713,0
2015-01-08 03:00:00+00:00,119.713,119.819,119.615,119.684,0
2015-01-08 04:00:00+00:00,119.684,119.796,119.633,119.743,0
2015-01-08 05:00:00+00:00,119.744,119.751,119.635,119.705,0
2015-01-08 06:00:00+00:00,119.705,119.901,119.704,119.867,0
2015-01-08 07:00:00+00:00,119.867,119.962,119.784,119.807,0
2015-01-08 08:00:00+00:00,119.809,119.863,119.692,119.746,0
2015-01-08 09:00:00+00:00,119.746,119.838,119.675,119.753,0
2015-01-08 10:00:00+00:00,119.754,119.883,119.744,119.836,0
2015-01-08 11:00:00+00:00,119.835,119.86,119.757,119.809,0
2015-01-08 12:00:00+00:00,119.809,119.897,119.724,119.732,0
2015-01-08 13:00:00+00:00,119.733,119.835,119.423,119.455,0
2015-01-08 14:00:00+00:00,119.456,119.657,119.384,119.533,0
2015-01-08 15:00:00+00:00,119.534,119.729,119.517,119.683,0
2015-01-08 16:00:00+00:00,119.684,119.689,119.514,119.516,0
2015-01-08 17:00:00+00:00,119.517,119.568,119.451,119.525,0
2015-01-08 18:00:00+00:00,119.525,119.726,119.492,119.603,0
2015-01-08 19:00:00+00:00,119.602,119.766,119.584,119.672,0
