pair,year,gap_start,gap_end,gap_minutes,missing_minutes
EURUSD,2024,2024-12-24T22:11:00Z,2024-12-24T22:28:00Z,17,16
EURUSD,2024,2024-12-24T23:11:00Z,2024-12-24T23:19:00Z,8,7
EURUSD,2024,2024-12-24T23:21:00Z,2024-12-24T23:30:00Z,9,8
EURUSD,2024,2024-12-24T23:30:00Z,2024-12-24T23:39:00Z,9,8
EURUSD,2024,2024-12-24T23:43:00Z,2024-12-25T00:00:00Z,17,16
EURUSD,2024,2024-12-25T01:49:00Z,2024-12-25T01:56:00Z,7,6
EURUSD,2024,2024-12-25T02:59:00Z,2024-12-25T17:04:00Z,845,844
EURUSD,2024,2024-12-27T16:59:00Z,2024-12-30T00:00:00Z,421,420
GBPUSD,2023,2023-01-06T16:59:00Z,2023-01-09T00:00:00Z,421,420
GBPUSD,2023,2023-01-13T16:59:00Z,2023-01-16T00:00:00Z,421,420
GBPUSD,2023,2023-01-20T16:59:00Z,2023-01-23T00:00:00Z,421,420
GBPUSD,2023,2023-01-27T16:59:00Z,2023-01-30T00:00:00Z,421,420
GBPUSD,2023,2023-02-03T16:59:00Z,2023-02-06T00:00:00Z,421,420
GBPUSD,2023,2023-02-07T16:59:00Z,2023-02-07T18:00:00Z,61,60
GBPUSD,2023,2023-02-10T16:59:00Z,2023-02-13T00:00:00Z,421,420
GBPUSD,2023,2023-02-17T16:59:00Z,2023-02-20T00:00:00Z,421,420
GBPUSD,2023,2023-02-20T04:59:00Z,2023-02-20T06:00:00Z,61,60
GBPUSD,2023,2023-02-20T07:59:00Z,2023-02-20T10:00:00Z,121,120
GBPUSD,2023,2023-02-20T11:59:00Z,2023-02-20T13:00:00Z,61,60
GBPUSD,2023,2023-02-20T13:59:00Z,2023-02-20T16:00:00Z,121,120
GBPUSD,2023,2023-02-20T16:59:00Z,2023-02-20T18:00:00Z,61,60
GBPUSD,2023,2023-02-21T05:59:00Z,2023-02-21T07:00:00Z,61,60
GBPUSD,2023,2023-02-21T07:59:00Z,2023-02-21T09:00:00Z,61,60
