datetime,open,high,low,close,volume
2026-01-01T18:00:00Z,4323.698,4332.848,4323.698,4328.198,0
2026-01-01T18:01:00Z,4328.198,4331.998,4328.098,4328.898,0
2026-01-01T18:02:00Z,4328.898,4330.298,4327.898,4329.998,0
2026-01-01T18:03:00Z,4329.998,4329.998,4325.445,4325.598,0
2026-01-01T18:04:00Z,4325.598,4326.798,4323.198,4326.798,0
2026-01-01T18:05:00Z,4326.898,4330.345,4326.835,4329.498,0
2026-01-01T18:06:00Z,4329.645,4330.098,4329.298,4329.905,0
2026-01-01T18:07:00Z,4329.925,4330.195,4329.355,4329.355,0
2026-01-01T18:08:00Z,4329.315,4329.798,4329.198,4329.798,0
2026-01-01T18:09:00Z,4329.808,4332.798,4329.798,4332.678,0
2026-01-01T18:10:00Z,4332.698,4332.985,4330.815,4332.565,0
2026-01-01T18:11:00Z,4332.595,4334.285,4332.415,4334.285,0
2026-01-01T18:12:00Z,4334.325,4335.055,4328.775,4329.625,0
2026-01-01T18:13:00Z,4329.655,4331.355,4329.465,4330.945,0
2026-01-01T18:14:00Z,4331.015,4331.015,4330.335,4330.625,0
2026-01-01T18:15:00Z,4330.555,4330.625,4327.865,4330.595,0
2026-01-01T18:16:00Z,4330.635,4332.035,4330.545,4331.765,0
2026-01-01T18:17:00Z,4332.655,4333.705,4331.868,4332.525,0
2026-01-01T18:18:00Z,4332.605,4333.125,4331.605,4333.125,0
2026-01-01T18:19:00Z,4333.145,4334.075,4332.655,4333.955,0
2026-01-01T18:20:00Z,4333.985,4334.045,4333.155,4333.535,0
2026-01-01T18:21:00Z,4334.155,4334.735,4332.425,4334.695,0
2026-01-01T18:22:00Z,4334.735,4337.365,4334.735,4337.085,0
2026-01-01T18:23:00Z,4337.185,4339.715,4337.125,4339.115,0
2026-01-01T18:24:00Z,4339.115,4340.315,4338.485,4339.565,0
2026-01-01T18:25:00Z,4339.585,4342.045,4337.675,4340.365,0
2026-01-01T18:26:00Z,4340.265,4342.505,4340.145,4341.795,0
2026-01-01T18:27:00Z,4341.655,4342.405,4341.005,4341.145,0
2026-01-01T18:28:00Z,4341.055,4341.395,4340.058,4341.145,0
2026-01-01T18:29:00Z,4341.095,4341.645,4336.835,4339.515,0
2026-01-01T18:30:00Z,4339.605,4340.725,4339.235,4339.485,0
2026-01-01T18:31:00Z,4339.505,4340.218,4339.145,4340.158,0
2026-01-01T18:32:00Z,4340.218,4340.318,4338.015,4339.555,0
2026-01-01T18:33:00Z,4339.575,4340.118,4339.575,4339.748,0
2026-01-01T18:34:00Z,4339.748,4339.808,4339.515,4339.568,0
2026-01-01T18:35:00Z,4340.185,4343.875,4339.568,4343.825,0
2026-01-01T18:36:00Z,4343.915,4343.915,4338.685,4340.898,0
2026-01-01T18:37:00Z,4340.698,4341.698,4339.828,4340.605,0
2026-01-01T18:38:00Z,4340.485,4341.515,4339.185,4340.965,0
2026-01-01T18:39:00Z,4340.975,4341.195,4339.315,4340.145,0
2026-01-01T18:40:00Z,4340.135,4340.165,4338.445,4339.205,0
2026-01-01T18:41:00Z,4339.195,4340.845,4339.075,4339.715,0
2026-01-01T18:42:00Z,4339.655,4341.955,4339.098,4341.495,0
2026-01-01T18:43:00Z,4341.445,4342.525,4340.965,4342.445,0
2026-01-01T18:44:00Z,4342.045,4345.505,4341.965,4344.965,0
2026-01-01T18:45:00Z,4345.025,4345.065,4342.398,4343.205,0
2026-01-01T18:46:00Z,4343.205,4343.525,4341.825,4343.195,0
2026-01-01T18:47:00Z,4343.105,4343.395,4341.655,4343.005,0
2026-01-01T18:48:00Z,4343.025,4345.495,4343.005,4343.805,0
2026-01-01T18:49:00Z,4343.745,4343.785,4342.295,4342.485,0
2026-01-01T18:50:00Z,4342.505,4343.645,4341.845,4343.595,0
2026-01-01T18:51:00Z,4343.615,4343.885,4341.855,4343.025,0
2026-01-01T18:52:00Z,4343.015,4344.005,4341.655,4343.835,0
2026-01-01T18:53:00Z,4343.855,4344.745,4341.528,4342.615,0
2026-01-01T18:54:00Z,4342.695,4347.225,4342.165,4347.225,0
2026-01-01T18:55:00Z,4346.965,4348.315,4346.485,4348.175,0
2026-01-01T18:56:00Z,4348.085,4349.085,4346.735,4349.015,0
2026-01-01T18:57:00Z,4349.025,4351.005,4348.885,4349.125,0
2026-01-01T18:58:00Z,4349.135,4349.425,4347.265,4348.455,0
2026-01-01T18:59:00Z,4348.465,4350.755,4347.788,4347.805,0
2026-01-01T19:00:00Z,4347.798,4348.645,4345.548,4346.428,0
2026-01-01T19:01:00Z,4346.438,4346.438,4344.718,4345.845,0
2026-01-01T19:02:00Z,4345.865,4346.995,4344.905,4345.425,0
2026-01-01T19:03:00Z,4345.465,4346.355,4345.465,4345.858,0
2026-01-01T19:04:00Z,4345.885,4347.155,4345.575,4346.035,0
2026-01-01T19:05:00Z,4345.995,4346.015,4344.095,4344.665,0
2026-01-01T19:06:00Z,4344.675,4346.365,4344.675,4346.125,0
2026-01-01T19:07:00Z,4346.155,4347.745,4346.155,4347.615,0
2026-01-01T19:08:00Z,4347.575,4348.055,4346.095,4348.045,0
2026-01-01T19:09:00Z,4347.865,4350.215,4347.705,4349.825,0
2026-01-01T19:10:00Z,4349.795,4352.725,4349.395,4350.235,0
2026-01-01T19:11:00Z,4350.215,4350.215,4347.035,4347.735,0
2026-01-01T19:12:00Z,4348.425,4349.625,4347.955,4349.345,0
2026-01-01T19:13:00Z,4349.135,4349.435,4348.165,4348.545,0
2026-01-01T19:14:00Z,4348.495,4348.595,4347.555,4347.715,0
2026-01-01T19:15:00Z,4347.675,4348.695,4347.525,4348.185,0
2026-01-01T19:16:00Z,4347.905,4349.185,4347.745,4349.045,0
2026-01-01T19:17:00Z,4349.025,4349.055,4346.215,4346.345,0
2026-01-01T19:18:00Z,4346.355,4348.325,4346.255,4347.695,0
2026-01-01T19:19:00Z,4347.685,4347.685,4344.145,4344.255,0
2026-01-01T19:20:00Z,4344.265,4345.445,4343.535,4345.445,0
2026-01-01T19:21:00Z,4345.405,4347.105,4344.985,4346.865,0
2026-01-01T19:22:00Z,4346.835,4346.835,4345.345,4346.315,0
2026-01-01T19:23:00Z,4346.365,4346.365,4344.725,4345.105,0
2026-01-01T19:24:00Z,4344.798,4345.025,4342.285,4343.165,0
2026-01-01T19:25:00Z,4343.145,4343.395,4341.505,4342.165,0
2026-01-01T19:26:00Z,4342.125,4342.345,4341.075,4341.215,0
2026-01-01T19:27:00Z,4341.685,4345.625,4341.685,4345.205,0
2026-01-01T19:28:00Z,4345.215,4346.395,4345.175,4345.905,0
2026-01-01T19:29:00Z,4345.905,4346.898,4345.685,4346.605,0
2026-01-01T19:30:00Z,4346.598,4347.898,4346.565,4347.798,0
2026-01-01T19:31:00Z,4347.898,4347.898,4346.258,4347.035,0
2026-01-01T19:32:00Z,4347.025,4348.655,4346.998,4348.548,0
2026-01-01T19:33:00Z,4348.358,4348.358,4347.148,4347.175,0
2026-01-01T19:34:00Z,4347.248,4348.035,4346.498,4348.035,0
2026-01-01T19:35:00Z,4347.948,4348.895,4347.048,4348.455,0
2026-01-01T19:36:00Z,4348.348,4348.935,4347.448,4347.985,0
2026-01-01T19:37:00Z,4348.025,4348.935,4347.995,4348.935,0
2026-01-01T19:38:00Z,4348.935,4350.405,4348.605,4348.985,0
2026-01-01T19:39:00Z,4349.965,4350.405,4347.925,4348.265,0
2026-01-01T19:40:00Z,4348.285,4348.485,4347.565,4347.585,0
2026-01-01T19:41:00Z,4347.585,4347.585,4346.248,4347.385,0
2026-01-01T19:42:00Z,4347.415,4350.595,4347.255,4349.805,0
2026-01-01T19:43:00Z,4349.845,4349.845,4348.575,4349.175,0
2026-01-01T19:44:00Z,4349.105,4349.575,4348.275,4349.375,0
2026-01-01T19:45:00Z,4349.435,4352.905,4349.375,4352.098,0
2026-01-01T19:46:00Z,4352.115,4352.898,4351.595,4351.645,0
2026-01-01T19:47:00Z,4351.625,4351.655,4350.798,4350.998,0
2026-01-01T19:48:00Z,4351.198,4352.098,4350.898,4352.098,0
2026-01-01T19:49:00Z,4352.115,4352.198,4351.098,4351.565,0
2026-01-01T19:50:00Z,4351.545,4352.798,4350.398,4351.098,0
2026-01-01T19:51:00Z,4351.098,4352.298,4351.098,4351.198,0
2026-01-01T19:52:00Z,4351.298,4351.698,4351.098,4351.398,0
2026-01-01T19:53:00Z,4351.398,4351.605,4350.798,4351.425,0
2026-01-01T19:54:00Z,4351.398,4352.155,4351.398,4351.995,0
2026-01-01T19:55:00Z,4351.975,4352.085,4350.775,4350.825,0
2026-01-01T19:56:00Z,4350.865,4354.425,4350.795,4354.298,0
2026-01-01T19:57:00Z,4354.298,4355.545,4353.745,4354.398,0
2026-01-01T19:58:00Z,4354.375,4354.385,4353.055,4353.565,0
2026-01-01T19:59:00Z,4353.545,4354.355,4353.255,4353.715,0
2026-01-01T20:00:00Z,4353.695,4355.575,4352.875,4355.055,0
2026-01-01T20:01:00Z,4355.055,4355.095,4352.645,4352.775,0
2026-01-01T20:02:00Z,4352.745,4353.735,4352.655,4353.415,0
