datetime,open,high,low,close,volume
2024-01-01T17:00:00Z,1.10427,1.10429,1.10425,1.10429,0
2024-01-01T17:01:00Z,1.10429,1.10429,1.10429,1.10429,0
2024-01-01T17:02:00Z,1.10429,1.10429,1.10429,1.10429,0
2024-01-01T17:03:00Z,1.10429,1.10429,1.10426,1.10426,0
2024-01-01T17:04:00Z,1.10426,1.10431,1.10424,1.10425,0
2024-01-01T17:05:00Z,1.10424,1.10427,1.10424,1.10427,0
2024-01-01T17:06:00Z,1.10428,1.10428,1.10427,1.10427,0
2024-01-01T17:07:00Z,1.10428,1.10428,1.10427,1.10427,0
2024-01-01T17:08:00Z,1.1043,1.1043,1.10428,1.10428,0
2024-01-01T17:09:00Z,1.1043,1.1043,1.10427,1.10427,0
2024-01-01T17:10:00Z,1.10425,1.10427,1.10425,1.10427,0
2024-01-01T17:11:00Z,1.10428,1.10428,1.10428,1.10428,0
2024-01-01T17:12:00Z,1.10426,1.1043,1.10424,1.10427,0
2024-01-01T17:13:00Z,1.10423,1.10429,1.10423,1.10429,0
2024-01-01T17:14:00Z,1.1043,1.10433,1.1043,1.10431,0
2024-01-01T17:15:00Z,1.1043,1.10433,1.1043,1.10431,0
2024-01-01T17:16:00Z,1.10427,1.10431,1.10427,1.1043,0
2024-01-01T17:17:00Z,1.10423,1.10423,1.10423,1.10423,0
2024-01-01T17:18:00Z,1.10427,1.10427,1.10427,1.10427,0
2024-01-01T17:19:00Z,1.10423,1.10423,1.10423,1.10423,0
2024-01-01T17:20:00Z,1.10431,1.10431,1.10429,1.10429,0
2024-01-01T17:21:00Z,1.10428,1.10433,1.1042,1.10432,0
2024-01-01T17:22:00Z,1.10434,1.10434,1.10434,1.10434,0
2024-01-01T17:23:00Z,1.10431,1.10431,1.10431,1.10431,0
2024-01-01T17:24:00Z,1.1043,1.10431,1.1043,1.1043,0
2024-01-01T17:25:00Z,1.10431,1.10431,1.1043,1.1043,0
2024-01-01T17:26:00Z,1.10429,1.10429,1.10429,1.10429,0
2024-01-01T17:27:00Z,1.1043,1.1043,1.1043,1.1043,0
2024-01-01T17:29:00Z,1.10431,1.10431,1.1043,1.1043,0
2024-01-01T17:31:00Z,1.10431,1.10432,1.10431,1.10432,0
2024-01-01T17:32:00Z,1.10432,1.10432,1.10431,1.10431,0
2024-01-01T17:33:00Z,1.10431,1.10431,1.10431,1.10431,0
2024-01-01T17:34:00Z,1.10431,1.10431,1.10431,1.10431,0
2024-01-01T17:37:00Z,1.10431,1.10432,1.10431,1.10431,0
2024-01-01T17:38:00Z,1.10431,1.10432,1.10431,1.10432,0
2024-01-01T17:39:00Z,1.10431,1.10435,1.10431,1.10431,0
2024-01-01T17:40:00Z,1.10431,1.10431,1.10431,1.10431,0
2024-01-01T17:41:00Z,1.10431,1.10437,1.10431,1.10432,0
2024-01-01T17:42:00Z,1.10433,1.10433,1.10433,1.10433,0
2024-01-01T17:43:00Z,1.10433,1.10433,1.10433,1.10433,0
2024-01-01T17:44:00Z,1.10433,1.10433,1.10433,1.10433,0
2024-01-01T17:45:00Z,1.10426,1.10426,1.10423,1.10424,0
2024-01-01T17:46:00Z,1.10427,1.10427,1.10427,1.10427,0
2024-01-01T17:47:00Z,1.10427,1.10428,1.10424,1.10424,0
2024-01-01T17:48:00Z,1.10424,1.10425,1.10424,1.10424,0
